Epoch,Generator Loss,Discriminator Loss
576,-1.2428,0.1199
577,-0.9747,-0.8536
578,-0.796,0.5904
579,-1.5919,-0.6119
580,-0.3036,-0.0307
581,-1.3667,0.5385
582,-1.5425,0.2155
583,-1.328,-0.7641
584,-0.6534,-0.578
585,-0.988,-1.5791
586,-0.964,-0.5189
587,-0.6211,-0.6986
588,-1.7541,-0.4834
589,-1.3719,0.6162
590,-0.8518,-0.2727
591,-1.3091,-0.3704
592,-0.7574,0.0966
593,-1.4113,-0.4388
594,-0.856,0.5461
595,-0.7223,-0.4985
596,-0.7447,-0.3673
597,-0.8697,-0.5636
598,-0.9027,-0.6823
599,-1.345,-0.9356
600,-0.4242,0.2981
601,-1.2352,-0.7713
602,-1.011,-0.7409
603,-0.394,-0.4203
604,-1.3761,-0.4912
605,-0.8856,-1.1377
606,-1.0435,-0.5313
607,-1.0099,-0.3827
608,-0.9353,-0.7083
609,-0.8945,-0.2024
610,-1.2939,-0.3704
611,-0.8189,-0.3659
612,-1.4872,-0.7105
613,-1.4203,0.0256
614,-1.4857,-0.303
615,-0.7533,-0.1674
616,-0.9908,0.2197
617,-1.2411,-0.0227
618,-1.4407,-0.7033
619,-0.2584,-0.5276
620,0.2359,-0.5001
621,-0.6118,-0.2625
622,-0.6425,-0.0687
623,0.0351,0.1386
624,-0.487,-0.5044
625,-0.6683,-0.4944
626,-0.8938,-0.6427
627,-0.4914,0.3234
628,-0.4493,-0.4095
629,-0.8039,-0.1541
630,-0.9471,-1.1714
631,-0.6308,-0.0204
632,-0.8948,-0.0716
633,-0.6724,-0.7883
634,-0.6391,-0.429
635,-0.4534,-0.7758
636,-0.7395,0.1387
637,-0.9188,-0.4987
638,-1.0178,-0.8531
639,-0.5342,-0.2578
640,-0.3364,-0.9919
641,-0.1171,-0.7223
642,-0.2331,-0.3229
643,-1.2491,-0.5976
644,-0.5446,-0.9991
645,-0.2167,-0.8949
646,0.1213,-0.507
647,-0.3117,-0.5443
648,0.1157,-0.9319
649,0.1307,-0.7457
650,-0.8077,-0.7499
651,-0.0326,-0.5565
652,-0.109,-0.4022
653,-0.4231,-0.235
654,-0.2946,0.3803
655,-0.4809,-0.8849
656,-0.0657,-0.385
657,0.0437,-0.0014
658,-0.5953,-0.3262
659,-1.1043,-0.0647
660,-0.344,0.1073
661,-0.4996,-0.6283
662,-0.3481,-0.3241
663,-1.4133,0.3157
664,-0.9724,-0.4907
665,-0.616,-0.5109
666,-0.3938,-0.0772
667,-1.084,-0.519
668,-0.0485,0.1376
669,-0.7897,-0.1548
670,-1.006,-0.0794
671,-0.3869,-0.296
672,-0.286,0.0231
673,0.2298,-0.5391
674,0.0139,-0.5082
675,-0.1917,-0.3729
676,0.5003,-0.3443
677,-0.0204,0.0183
678,0.2515,-1.2112
679,0.0601,-0.5627
680,0.3724,-0.5921
681,0.2099,-0.7304
682,0.5419,-0.4034
683,0.6205,0.3823
684,-0.7927,-0.4813
685,-0.7373,-1.5072
686,-0.4867,0.8723
687,-0.6856,-0.1997
688,-0.3135,0.9473
689,-0.4374,0.1418
690,0.157,-0.2788
691,-0.2351,-0.6802
692,-0.3817,-0.7418
693,-0.6654,-0.4496
694,-0.7659,-0.4941
695,-0.4564,-0.4952
696,-0.6122,-0.4362
697,-0.3604,-0.4993
698,-0.2492,-0.7989
699,-0.5509,-0.9819
700,-0.3966,-0.4945
701,-0.0351,-0.6401
702,-0.4994,-0.0712
703,-0.9277,-0.4368
704,-0.0438,-0.2743
705,0.0868,-0.775
706,0.0443,-0.2188
707,-0.7193,0.4367
708,-0.4223,-0.5345
709,-0.6407,-1.2814
710,-0.1992,-0.9917
711,-0.3026,-0.3861
712,-0.2898,0.3397
713,-0.0419,-0.578
714,-0.1597,-0.4414
715,0.2088,-0.905
716,-0.2156,-0.0172
717,-0.118,0.2683
718,-0.1515,0.2143
719,-0.6693,-0.3469
720,-0.0283,-0.3534
721,-0.1691,-1.2285
722,-0.5472,-0.3629
723,-0.4314,-0.3459
724,-0.0656,-1.3372
725,-0.5372,0.1795
726,-0.6002,-0.9426
727,-0.3687,-0.5213
728,-0.1142,0.0502
729,-0.2428,-0.3343
730,-0.8392,-1.0714
731,-0.8977,-0.8799
732,-0.2828,-1.5479
733,-0.0346,-0.3601
734,0.2107,-0.5173
735,-0.3362,0.0736
736,-0.6188,0.1215
737,0.055,-0.355
738,0.0166,-0.0772
739,0.133,-1.0958
740,-0.1836,-0.2524
741,0.1708,-0.6534
742,-0.7592,0.4996
743,0.3026,-0.1208
744,-0.1408,-0.0575
745,-0.0449,0.137
746,0.0853,-0.0836
747,-0.1276,-0.7214
748,0.007,-0.7257
749,0.4049,-1.3693
750,-0.2612,-1.0421
751,-0.4601,-0.9031
752,-0.3335,-0.756
753,-0.5295,-0.559
754,-1.1204,-0.4811
755,-0.6158,-0.5156
756,-0.8461,-0.8797
757,-0.7327,-1.2196
758,-0.4815,-0.0963
759,-0.6274,0.2223
760,-0.2451,0.1522
761,-0.6283,-0.3998
762,-0.909,-0.901
763,-0.5987,-0.4737
764,-0.7772,-1.2524
765,-0.2447,-0.2316
766,-0.8674,-0.4229
767,-0.6702,0.4526
768,-0.004,0.2234
769,-0.3466,-0.3031
770,0.0037,-1.5863
771,-0.6892,-1.1617
772,-1.1412,0.0126
773,-0.7539,-0.9595
774,-0.7517,0.4204
775,-0.8743,-0.1825
776,0.0038,0.5028
777,-0.2413,-0.7939
778,-0.5301,-1.2585
779,-1.0736,-0.4811
780,-0.3477,0.4475
781,-0.1601,-0.4215
782,-0.6299,-0.2746
783,-0.7077,-0.0033
784,-0.8068,-0.2861
785,-0.6196,-0.0536
786,-1.2644,-0.183
787,-0.3556,0.0603
788,-0.2934,-0.4706
789,-0.9889,-0.6356
790,-0.5696,0.0161
791,-0.4733,0.0674
792,-0.8263,-0.3248
793,-0.4197,-0.7195
794,-1.2921,-0.7664
795,-0.8217,-0.6592
796,-0.5137,0.3431
797,-0.2536,0.0907
798,-0.1791,-0.6402
799,-0.7017,-0.2343
800,0.4356,0.1495
